구분,품명,규격,이월재고,입고량,출고량,잔량,단가,금액
SKT,광접속함체 무여장중간분기형,24C,7,102,100,9,147882,1330938
SKT,광접속함체 직선형,가공 24C,18,1289,1302,5,40150,200750
SKT,광접속함체 직선형,가공 48C,24,523,547,0,41590,0
SKT,광접속함체 직선형,가공 72C,0,472,462,10,63750,637500
SKT,광접속함체 직선형,가공 144C,25,201,221,5,66720,333600
SKT,광접속함체 돔형,가공 48C,20,311,329,2,30270,60540
SKT,광접속함체 돔형,지중 72C,3,112,101,14,33720,472080
SKT,광접속함체 돔형,가공 96C,0,256,241,15,39398,590970
SKT,광접속함체 돔형,지중 96C,0,40,31,9,39398,354582
SKT,광접속함체 돔형,가공 144C,13,226,232,7,58054,406378
SKT,광접속함체 돔형,지중 144C,0,149,141,8,58054,464432
SKT,광접속함체 돔형,가공 288C,0,68,57,11,85860,944460
SKT,광접속함체 돔형,지중 288C,2,34,35,1,85860,85860
SKT,광분배함,OFD 12C 1U,0,2,1,1,25630,25630
SKT,광분배함,OFD 24C 1U,0,10,6,4,50840,203360
SKT,광분배함,"OFD-24C, 3U",0,3,1,2,73800,147600
SKT,광분배함,OFD 48C 4U,4,10,13,1,84150,84150
SKT,광분배함,OFD 72C 4U,3,47,43,7,97086,679602
SKT,광분배함,OFD 144C 4U,3,16,18,1,119572,119572
SKT,IJP,"4C, 강화플라스틱 (SKT)",1,326,303,24,21890,525360
SKT,랙 (허브랙),"W560*D560*H750㎜, 강화플라스틱",0,1,0,1,130270,130270
SKT,랙 (허브랙),"W550*D500*H500㎜, 9U, 강화플라스틱",0,1,0,1,114600,114600
SKT,IP주,150Kg 8M,61,511,572,0,152258,0
SKT,IP주,150Kg 8M(도색),26,0,14,12,162700,1952400
SKT,IP주,150Kg 9M,0,52,47,5,167634,838170
SKT,광접속함체 열수축슬리브,1C,0,26200,26200,0,60,0
SKT,성단용 OJC,SC/APC-12C (SM),5,863,835,33,26600,877800
SKT,성단용 OJC,SC/PC-12C (SM),0,154,95,59,26600,1569400
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 3M",2,770,732,40,2806,112240
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 5M",3,110,43,70,3082,215740
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 10M",0,150,87,63,3772,237636
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 15M",12,0,12,0,4462,0
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 20M",17,30,17,30,4273,128190
SKT,광점퍼코드,"SM, 1C, SC/APC-SC/APC, 30M",3,5,7,1,6532,6532
SKT,광점퍼코드,"SM, 1C, SC/PC-LC/APC 3M",0,8,6,2,2806,5612
SKT,광점퍼코드,"SM, 1C, SC/PC-LC/PC 3M",0,10,0,10,2539,25390
SKT,광점퍼코드,"SM, 1C, SC/PC-LC/PC, 20M",5,0,3,2,5152,10304
SKT,광점퍼코드,"SM, 1C, SC/APC-LC/APC, 10M",22,0,9,13,3772,49036
SKT,광점퍼코드,"SM, 1C, SC/APC-LC/PC, 10M",0,20,2,18,3772,67896
SKT,광점퍼코드,"SM, 1C, SC/APC-LC/PC, 15M",0,20,11,9,4462,40158
SKT,광점퍼코드,"SM, 1C, SC/APC-LC/PC, 20M",1,0,0,1,5152,5152
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/APC, 5M",1,0,0,1,3082,3082
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/APC, 10M",14,0,1,13,3772,49036
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/APC, 15M",0,20,17,3,4462,13386
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/APC, 20M",1,0,0,1,5125,5125
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/APC, 30M",0,1,0,1,6532,6532
SKT,광점퍼코드,"SM, 1C, SC/APC-FC/PC, 10M",12,0,0,12,3772,45264
SKT,광점퍼코드,"SM, 1C, SC/PC-FC/PC, 25M",2,0,0,2,5842,11684
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/PC, 3M",0,80,54,26,2806,72956
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/PC, 10M",0,50,47,3,3772,11316
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/PC, 15M",0,30,24,6,4462,26772
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/APC, 1M",5,0,0,5,2335,11675
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/APC, 3M",1,160,97,64,2806,179584
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/APC, 10M",0,30,17,13,3772,49036
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/APC, 15M",2,20,20,2,4462,8924
SKT,광점퍼코드,"SM, 1C, SC/PC-SC/APC, 20M",1,40,35,6,5152,30912
SKT,광점퍼코드,"SM, 1C, LC/PC-LC/PC, 1M",0,17,5,12,2530,30360
SKT,광점퍼코드,"SM, 1C, LC/PC-LC/PC 3M",0,10,0,10,2806,28060
SKT,광점퍼코드 편단,"LC/APC, 1.5m",0,60,40,20,1723,34460
SKT,케이블명찰,재질:PVC W:70 H:50,12600,23400,31790,4210,247,1039870
SKT,IP주 안전표시찰,"SK, 알루미늄재질",0,175,175,0,13000,0
SKT,IP주 안전표시찰,솔벤재질,0,240,240,0,6900,0
SKT,압축관,"32Φ x 180㎜, 검정",39,450,286,203,3070,623210
SKT,압축관,[40*180(흑)],52,130,82,100,3230,323000
SKT,지하매설표지판,W300*H200*T2㎜,16,0,3,13,5376,69888
SKT,열수축관(Main수축관/주배선구용)-광접속함체용,2NT(튜브형) - 국산/75-22,0,20,4,16,6400,102400
SKT,광접속함체 열수축튜브,"주 분기용, 길이 20cm",0,100,0,100,3172,317200
SKT,광접속함체 열수축튜브,"보조 분기용, 길이 20cm",0,400,80,320,5656,1809920
SKT,지퍼형 열수축관,"1NW, 보조분기용, 43/9",0,120,26,94,14500,1363000
SKT,지퍼형 열수축관,"2NW, 메인분기용, 75/22",0,70,20,50,18500,925000
SKT,난연/소화 테이프 ,"SFEX AP tape, 50*1000*1(T)",0,731,680,51,56000,2856000
SKT,반경관,100*2*2400,19,0,4,15,21500,322500
SKT,IP용 지선봉,16*1600,0,90,89,1,7500,7500
SKT,무여장 Kit,"더미코어 12C, 연장튜브 2개 포함",10,10,0,20,8150,163000
SKT,근가블럭,IP주용 70cm,82,482,564,0,12600,0
SKT,근가블럭,CP주용,1,0,0,1,15000,15000
SKT,근가밴드,강관주용(IP),0,240,240,0,2904,0
SKT,맨홀소음방지패드,맨홀소음방지패드,0,10,1,9,12260,110340
SKT,스파이랄슬리브,흑색/난연,0,500,301,199,2600,517400
SKT,넝쿨방지캡,표준형,2,30,22,10,27420,274200
SKT,광접속함체 고정걸이,돔형 전용,12,100,60,52,4730,245960
SKT,함체 사업자 식별 표시,SKT,,100,0,100,531.9,53190
SKT,지선보호카바,상하부,,10,10,0,7500,0
SKT,지선보호커버,상/하 1조,,20,14,6,12770,76620
SKT,지중 보호철판 (300W/2FC),"	300W×100H×2.5T×1,000L",,10,2,8,13980,111840
SKT,조립식반할관,,,3,1,2,70000,140000
SKT,열수축관(Main수축관/주배선구용)-광접속함체용,2NT(튜브형) - 국산/75-22,,20,4,16,6400,102400
SKT,케이블탈장방지솔루션,직선형함체 양단 고정,,20,20,0,9574,0
SKT,케이블탈장방지솔루션,직선형함체 편단 고정,,40,40,0,4255,0
SKT,케이블탈장방지솔루션,돔형함체 메인분기,,20,20,0,20850,0
SKT,케이블탈장방지솔루션,돔형함체 보조분기,,20,20,0,8510,0
SKT,SUS밴드,"All SUS. 직경 11인치, 길이 ~86cm용",,10,10,0,2420,0
SKT,성단용 OJC, LC/APC-12C (SM),,72,32,40,2500,100000
SKT,C/L-MUX전용함,"여장판,적광(투명)어답터4C,",,33,20,13,36760,477880
SKT,광어댑터,"세라믹, LC-TYPE (T/B)",,8,4,4,1947,7788
